Assessment Name,Assessment URL,Remote Testing Support,Adaptive/IRT Support,Test Type,Test Type Keys,Description,Time (Minutes),Job Levels,Languages
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,Personality & Behavior,['P'],"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators.",,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Chinese Simplified, English International, English (USA),"
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,Personality & Behavior,['P'],"The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees.",,"General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager,","Chinese Simplified, English International, English (USA),"
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,Yes,No,Personality & Behavior,['P'],"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only an",,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Italian, Norwegian, Polish, Portuguese, Russian, Swedish, English International, English (USA), Romanian, Indonesian, Turkish, Chinese Simplified, Hungarian,"
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,7,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",6,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA), Spanish, French, Portuguese (Brazil),"
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",7,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA), Spanish, Portuguese (Brazil), French,"
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,Simulations,['S'],"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",5,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",4,"Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA), French, Spanish, Portuguese (Brazil),"
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the ability to use MS Word to record and save textual information.,4,"Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager,","Spanish, French, Portuguese (Brazil), English (USA),"
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",17,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,Yes,No,"Ability, Knowledge & Skills, Simulations","['A', 'K', 'S']","The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solvi",20,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of carrying out various nursing tasks.,11,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,Personality & Behavior,['P'],"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of ",25,"Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive,","English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese,"
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",7,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,Personality & Behavior,['P'],A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Finnish, English International,"
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,Personality & Behavior,['P'],A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,,,
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,Personality & Behavior,['P'],This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.,,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Latin American Spanish, Portuguese, Swedish, English International, English (USA),"
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.",,"Director, Executive, Manager, Mid-Professional, Professional Individual Contributor,","Dutch, English International, English (USA), Romanian, Portuguese, French, German, Swedish, Chinese Simplified, Portuguese (Brazil), Japanese, Polish, Russian, Latin American Spanish,"
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,Yes,No,Personality & Behavior,['P'],"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding th",,"Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","Romanian, Czech, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA),"
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,Personality & Behavior,['P'],This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,,"Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level,",
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,Yes,No,Personality & Behavior,['P'],This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach to learning across four dimensions.,,"Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director,","Danish, Dutch, Portuguese, Swedish, English International,"
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. 
Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013.Please note this report is currently being updated on Talent Central as pa",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Portuguese (Brazil), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA), Chinese Traditional, Portuguese, Romanian,"
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",,"Supervisor, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Executive,","English International,"
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",,"Manager, Graduate, Mid-Professional, Professional Individual Contributor, Director, General Population, Entry-Level, Executive, Front Line Manager, Supervisor,",
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,Yes,No,Personality & Behavior,['P'],"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sampl",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Arabic, Romanian, Slovak, Serbian, Chinese Simplified, Chinese Traditional, Danish, Flemish, Dutch, English International, Finnish, French (Belgium), French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese, Russian, Latin American Spanish, Spanish, Swedish, Thai, Turkish, English (USA), Czech, Estonian, Latvian, Lithuanian,"
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,Personality & Behavior,['P'],"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.“IMPORTANT! Please note that for a sample report contact Managed Services"".",,"Executive, Director, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Danish, English International, Finnish, Dutch, Norwegian, Swedish, English (USA),"
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,Personality & Behavior,['P'],"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English (USA),"
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,Personality & Behavior,['P'],"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English International, English (USA),"
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,Personality & Behavior,['P'],This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Portuguese (Brazil), Danish, French (Canada), French, German, Italian, Latin American Spanish, Norwegian, Portuguese, Swedish, Turkish, English International, English (USA),"
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,Personality & Behavior,['P'],This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Italian, Latin American Spanish, Norwegian, Portuguese, English International, English (USA),"
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the ",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA), Dutch, French, German, Norwegian, Swedish, Japanese, Portuguese, Chinese Simplified, Italian, Danish, Finnish, Latin American Spanish, Portuguese (Brazil),"
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.",,"Director, Executive, Front Line Manager, Manager, Graduate, General Population, Professional Individual Contributor, Supervisor, Mid-Professional,",
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual diff",,"Graduate, Director, Executive, Front Line Manager, General Population, Supervisor, Manager, Mid-Professional, Professional Individual Contributor,","Czech, Romanian, Slovak, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA),"
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,Personality & Behavior,['P'],This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.,,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Executive, Front Line Manager, General Population,",
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,Personality & Behavior,['P'],"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  The Manager's Report describes the individual's personal style in narrative text that can be given directly to a line manager.
These reports can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Danish, Finnish, French, Italian, Norwegian, Portuguese, English International,"
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,Yes,No,"Personality & Behavior, Simulations","['P', 'S']","This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, English International, English (USA), Portuguese (Brazil), French (Canada), Latin American Spanish,"
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.",12,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.",12,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.",11,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.",7,"Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),"
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.",5,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.",17,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.",7,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.",17,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.",7,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circulatory system and GI tract.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,Yes,No,"C, Ability, Personality & Behavior","['C', 'A', 'P']","The Person-Job Match Report is unique in that it
matches the performance potential of the
individual to the job’s specific competencies. This
provides you with a comprehensive and insightful
understanding of person-job fit.  The PJM Development report is written to support competency focused development of an individual.

In a development context, this report can be used: To identify specific areas of strength and weakness that may impact on the individual?s 
performance.As the basis for ",,"Mid-Professional, Graduate, Manager,","Italian, English International, English (USA), French (Canada), Portuguese (Brazil), Latin American Spanish,"
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,Yes,No,"Ability, C, Personality & Behavior","['A', 'C', 'P']","The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role.  Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection 
and/or development (e.g. Talent Audit).  It provides a highly visual profile of a candidate's strengths and limitations against identified",,"Mid-Professional, Manager,","Italian, English International, English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),"
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.",8,"Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),"
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.",15,"Mid-Professional, Professional Individual Contributor, Graduate,","English (USA),"
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.",4,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.",13,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,Yes,Yes,Knowledge & Skills,['K'],"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.",25,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,Yes,Yes,Knowledge & Skills,['K'],"The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (PMI's), Project Management Body of Knowledge (PMBOK) Fifth Edition methodology. Designed for all professionals, this test covers the following topics: Project Communications Management, Project Cost Management, Project Human Resource Management, Project Management Characteristics, Project Management",30,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,Yes,No,Knowledge & Skills,['K'],"This assessment measures ability to read for errors involving spelling, punctuation, grammar and word choice.  It also measures ability to correct those errors.",6,"Entry-Level, Mid-Professional,","English International, English (USA),"
